"Id,""Fecha_Inicial"",""Fecha_Final"",""Num_Sesiones"",""Error1"",""Tiempo1"",""Error2"",""Tiempo2"",""Error3"",""Tiempo3"",""Error4"",""Tiempo4"",""Error5"",""Tiempo5"",""Error_total"",""Tiempo_total"""
"1,""2023-08-22 15:13:46"",""2023-08-22 15:20:23"",""1"",""41"",""55190035800"",""80"",""79828341900"",""23"",""53813774900"",""55"",""110235845800"",""12"",""62489850500"",""211"",""361557848900"""
"2,""2023-08-22 15:58:55"",""2023-08-22 16:06:19"",""1"",""11"",""66250436900"",""34"",""94997372200"",""2"",""74137521800"",""46"",""109075778600"",""16"",""69683873400"",""109"",""414144982900"""
"3,""2023-08-22 16:40:41"",""2023-08-22 16:47:54"",""1"",""0"",""55639508400"",""43"",""78803158400"",""19"",""78810880200"",""10"",""106718173700"",""1"",""81561745100"",""73"",""401533465800"""
"4,""2023-08-22 16:51:09"",""2023-08-22 16:57:59"",""1"",""22"",""88067506700"",""31"",""84567660500"",""41"",""80367364500"",""113"",""71894267200"",""15"",""50970227100"",""222"",""375867026000"""
"5,""2023-08-22 18:06:27"",""2023-08-22 18:15:18"",""1"",""41"",""94707182800"",""35"",""147652168000"",""21"",""97466258900"",""0"",""0"",""7"",""59721208400"",""104"",""399546818100"""
"5,""2023-08-29 11:32:30"",""2023-08-29 11:43:25"",""2"",""0"",""49533812200"",""71"",""64820399700"",""15"",""48951662400"",""111"",""142926806800"",""57"",""265289512700"",""254"",""571522193800"""
"5,""2023-08-29 12:59:15"",""2023-08-29 13:05:43"",""3"",""242"",""56372612700"",""0"",""0"",""21"",""156503389500"",""19"",""77076224900"",""17"",""68049932100"",""299"",""358002159200"""
"5,""2023-08-29 15:08:40"",""2023-08-29 15:15:41"",""4"",""5"",""53765623600"",""43"",""82635540500"",""43"",""82341400200"",""65"",""85802408300"",""0"",""0"",""156"",""304544972600"""
"4,""2023-08-29 17:30:24"",""2023-08-29 17:37:21"",""2"",""22"",""50949013500"",""45"",""78771955100"",""4"",""107538306100"",""17"",""84266553300"",""13"",""66464524700"",""101"",""387990352700"""
"6,""2023-09-08 16:45:23"",""2023-09-08 16:55:11"",""1"",""17"",""123034374100"",""26"",""176117056100"",""4"",""102845532700"",""9"",""84432938200"",""47"",""53871801200"",""103"",""540301702300"""
"8,""2023-09-08 17:45:11"",""2023-09-08 17:51:51"",""1"",""13"",""54466309800"",""64"",""76994545400"",""13"",""55168643300"",""72"",""112189844500"",""49"",""68460360500"",""211"",""367279703500"""
"9,""2023-09-08 18:07:43"",""2023-09-08 18:15:06"",""1"",""148"",""67616149100"",""5"",""89168215700"",""4"",""69817181300"",""25"",""95291981100"",""24"",""88762075000"",""206"",""410655602200"""
"10,""2023-09-08 18:29:36"",""2023-09-08 18:36:52"",""1"",""5"",""78012535700"",""56"",""78409002600"",""31"",""59247552200"",""59"",""128554325500"",""8"",""60212904100"",""159"",""404436320100"""
"11,""2023-09-08 18:47:21"",""2023-09-08 18:54:12"",""1"",""12"",""55030074000"",""33"",""87561940000"",""20"",""65677046000"",""28"",""83966614700"",""13"",""82867005000"",""106"",""375102679700"""
"12,""2023-09-08 19:07:15"",""2023-09-08 19:14:08"",""1"",""2"",""60748003300"",""4"",""86799600300"",""1"",""62680608100"",""25"",""96955034100"",""0"",""0"",""32"",""307183245800"""
"13,""2023-09-08 20:41:49"",""2023-09-08 20:48:29"",""1"",""233"",""49216529500"",""55"",""96069722200"",""11"",""63895699600"",""0"",""0"",""10"",""67524493700"",""309"",""276706445000"""
"14,""2023-09-08 21:00:55"",""2023-09-08 21:08:55"",""1"",""8"",""71206396000"",""11"",""91083185100"",""0"",""72404548500"",""30"",""112920069800"",""17"",""100275010500"",""66"",""447889209900"""
"15,""2023-09-09 11:50:03"",""2023-09-09 12:00:35"",""1"",""4"",""75465798800"",""2"",""93404820300"",""0"",""0"",""45"",""342207231200"",""7"",""93694668800"",""58"",""604772519100"""
"15,""2023-09-09 12:06:36"",""2023-09-09 12:14:00"",""2"",""30"",""85152727100"",""36"",""75681784600"",""5"",""60342534000"",""73"",""116041212700"",""7"",""74324518400"",""151"",""411542776800"""
